software,COMP501,Information Technology Operations,5,15,NONE,To enable students to apply fundamental IT technical support concepts and practice; and configure and administer systems and applications to meet organisational requirements.,1
software,COMP502,Fundamentals of Programming and Problem Solving,5,15,NONE,Programming fundamentals.,1
software,INFO501,Professional Practice,5,15,NONE,Business; Ethics and Morals.,1
software,INFO502,Business Systems Analysis and Design,5,15,NONE,Analysing businesses and designing solution.,1
software,COMP503,Introduction to Networks Cisco 1),5,15,NONE,Introduction to networking.,2
software,COMP504,Operating Systems and systems Support,5,15,NONE,Support for OS.,2
software,INFO503,Database Principles,5,15,NONE,Principles for Databases.,2
software,INFO504,Technical Support,5,15,NONE,Support and Help desk.,2
software,COMP601,Object Oriented Programming,6,15,COMP502,OBJ Best Practices.,3
software,INFO601,Data-modelling and SQL,6,15,INFO503,Data modelling theory and implementation.,3
software,MATH601,Mathematics for IT,6,15,NONE,Math for IT.,3
software,COMP602,Web Development,6,15,COMP502-INFO502,Website Development.,3
software,INFO602,Business Interpersonal Communications and Technical Writing,6,15,NONE,Business Comms and Practices.,4
software,COMP603,The Web Environment,6,15,COMP602,The Website Environment.,4
software,COMP605,Data Structures and Algorithms,6,15,COMP601-MATH601,Big O Notation.,4
software,MATH602,Mathematics for programming,6,15,MATH601,Math for Programming.,4
software,INFO701,Project Management Prince 2),7,15,INFO502,Project management.,5
software,BIZM701,Business Essentials for IT Professionals,7,15,INFO602,Essentials for IT pros.,5
software,INFO703,Big Data and Analytics,7,15,COMP605-MATH602,Big data analytics.,5
software,COMP706,Games Development,7,15,NONE,Developing games for multi platform.,5
software,INFO704,Data-Warehousing and Business Intelligence,7,15,NONE,Data-warehousing and BI.,6
software,COMP707,Principles of Software Testing,7,15,COMP605,Software testing principles.,6
software,COMP709,Mobile Apps Development,7,15,COMP601-COMP605-MATH602,Mobile applications dev.,6
software,COMP708,Software Engineering Project,7,15,COMP605-MATH602,Project/Internship.,6
media,COMP501,Information Technology Operations,5,15,NONE,To enable students to apply fundamental IT technical support concepts and practice; and configure and administer systems and applications to meet organisational requirements.,1
media,COMP502,Fundamentals of Programming and Problem Solving,5,15,NONE,Programming fundamentals.,1
media,INFO501,Professional Practice,5,15,NONE,Business; Ethics and Morals.,1
media,INFO502,Business Systems Analysis and Design,5,15,NONE,Analysing businesses and designing solution.,1
media,COMP503,Introduction to Networks Cisco 1),5,15,NONE,Introduction to networking.,2
media,COMP504,Operating Systems and systems Support,5,15,NONE,Support for OS.,2
media,INFO503,Database Principles,5,15,NONE,Principles for Databases.,2
media,INFO504,Technical Support,5,15,NONE,Support and Help desk.,2
media,COMP601,Object Oriented Programming,6,15,COMP502,OBJ Best Practices.,3
media,INFO601,Data-modelling and SQL,6,15,INFO503,Data modelling theory and implementation.,3
media,MATH601,Mathematics for IT,6,15,NONE,Math for IT.,3
media,COMP602,Web Development,6,15,COMP502-INFO502,Website Development.,3
media,COMP603​,The Web Environment,6,15,COMP602​,To enable students to examine the working environment and applications that are used in the web industry.,4
media,COMP606​,Web Programming,6,15,COMP602​,To enable students to gain the in depth knowledge and skills required to be able to write programs in web programming languages that solve various web programming tasks.,4
media,COMP607​,Visual Effects and Animation,6,15,COMP602​,To enable students to develop the knowledge and skills required to design and develop effective graphics and animation; and to apply various visual effects for static graphics as well as create 3D models and produce 2D and 3D animation.,4
media,INFO602,Business Interpersonal Communications and Technical Writing,6,15,NONE,Business Comms and Practices.,4
media,COMP710​,Web Applications Development,7,15,COMP602-COMP606,To enable students to apply practical knowledge of Model View Controller (MVC) frameworks to plan; design and implement web applications. The core focus will be on architecture design and implementation of a web application that will meet a set of functional requirements and user interface requirements; and address business models.,5
media,INFO702 ​,Cyber Security,7,15,COMP504​-COMP601​,To enable students to investigate computer system attacks and vulnerabilities in relation to operating systems (OS); applications; networking and websites; and investigate the security techniques for protecting a computer system from such attacks.,5
media,COMP709​,Mobile Applications Development,7,15,COMP601-MATH601,To enable students to design; develop and implement mobile applications on a given platform.,5
media,INFO709​,Human Computer Interaction​,7,15,NONE,To enable students to understand the supporting theories and principles of user interface design with respect to human computer interaction. They will investigate applications in human computer interaction and apply usability best practices and processes.,5
media,INFO701,Project Management Prince 2),7,15,INFO502,Project management.,5
media,INFO708​,Data Visualisation,7,15,COMP606​-COMP607​,To enable students to study and apply visual techniques that transform data into a format efficient for human perception; cognition; and communication; thus allowing for extraction of meaningful information and insight. Students will investigate data visualisation techniques; human visual systems and cognitive perception; and design; construct; and evaluate data visualisations.,6
media,COMP713​,Web Application Project,7,15,​COMP606-COMP710,To enable students to further develop their knowledge of Web Applications by analysing; designing and implementing a web solution. This module is the Web Application Capstone Project.,6
media,INFO710​,Industry Placement/Internship​,7,15,NONE,This module will enable students to demonstrate that they can successfully undertake original work that applies the theoretical and practical knowledge gained in other modules in a workplace environment.Enable student to gain real world experience and build and Industry portfolio. Making professional contacts to build future industry networks.,6
networking,COMP501,Information Technology Operations,5,15,NONE,To enable students to apply fundamental IT technical support concepts and practice; and configure and administer systems and applications to meet organisational requirements.,1
networking,COMP502,Fundamentals of Programming and Problem Solving,5,15,NONE,Programming fundamentals.,1
networking,INFO501,Professional Practice,5,15,NONE,Business; Ethics and Morals.,1
networking,INFO502,Business Systems Analysis and Design,5,15,NONE,Analysing businesses and designing solution.,1
networking,COMP503,Introduction to Networks Cisco 1),5,15,NONE,Introduction to networking.,2
networking,COMP504,Operating Systems and systems Support,5,15,NONE,Support for OS.,2
networking,INFO503,Database Principles,5,15,NONE,Principles for Databases.,2
